REGION,Year 2015(%),Year 2016(%),Year 2017(%),Year 2018(%),Year 2019(%),Year 2020(%),Year 2021(%)
NCR,15%,36%,35%,37%,33%,28%,30%
Region_1,2%,3%,4%,3%,3%,6%,3%
Region_2,1%,1%,2%,1%,2%,2%,1%
Region_3,10%,10%,11%,11%,11%,8%,13%
Region 4A,15%,18%,15%,17%,17%,13%,20%
Region 4B,2%,2%,1%,1%,1%,3%,1%
Region_5,1%,1%,3%,2%,3%,2%,2%
Region_6,6%,3%,7%,7%,6%,2%,8%
Region_7,7%,8%,7%,8%,8%,26%,7%
Region_8,1%,1%,2%,1%,2%,4%,1%
Region_9,2%,2%,1%,2%,1%,1%,2%
Region_10,2%,2%,3%,3%,3%,3%,3%
Region_11,8%,6%,4%,3%,5%,2%,4%
Region_12,3%,2%,2%,2%,3%,<1%,2%
CAR,1%,<1%,1%,1%,1%,<1%,1%
CARAGA,1%,2%,2%,1%,1%,<1%,2%
ARMM,<1%,<1%,<1%,<1%,-,-,-
