DemoGraphic Data,Total Reported Cases,Asymptomatic Cases,AIDS Cases,No. of Male,No. of Female,Less than 15 y/o,15-24  y/o,25-34 y/o,35-49 y/o,50 y/o & above,Reported Deaths,No. of male Deaths,No. of Female Deaths,Sexual Contact,Blood/Blood Products,Sharing of Needles,Needle Prick Injury,Mother-to-child,No Data Available
2015 January,536,475,65,508,28,0,131,285,100,20,14,13,1,534,0,2,0,0,0
2015 February,646,603,43,619,27,2,181,333,115,15,17,15,2,586,0,58,0,2,0
2015 March,667,643,24,643,24,3,172,373,110,9,18,17,1,630,0,34,0,3,0
2015 April,560,524,36,538,22,2,166,290,83,19,16,13,3,547,0,12,0,1,0
2015 May,748,707,37,717,31,0,207,409,121,11,29,28,1,860,0,28,0,0,0
2015 June,772,739,33,745,27,2,227,416,118,9,62,61,1,772,0,8,0,0,0
2015 July,682,640,42,644,38,4,206,341,114,19,7,7,0,682,0,2,0,3,0
2015 August,598,559,39,572,26,4,154,314,110,16,15,15,0,598,0,28,0,4,0
2015 September,692,647,45,662,39,1,213,362,99,17,13,12,1,692,0,23,0,0,0
2015 October,651,591,60,623,19,0,186,327,122,14,50,48,2,651,0,26,0,2,0
2015 November,627,575,52,607,20,1,189,324,101,12,174,156,18,627,0,34,0,1,0
2015 December,650,623,27,629,21,1,183,356,98,12,46,44,2,650,0,17,0,1,0
    Total of Year 2015,7892,7326,503,7507,322,20,2215,4130,1291,173,461,429,32,7829,0,272,0,17,0
2016 January,804,710,94,776,28,0,222,423,145,14,64,60,4,804,0,33,0,0,0
2016 February,751,635,116,724,27,2,218,401,119,11,55,53,2,751,0,38,0,2,0
2016 March,736,656,80,712,24,1,204,408,107,16,26,24,2,736,0,26,0,1,0
2016 April,772,650,122,729,43,2,227,399,124,20,32,30,2,772,0,40,0,2,0
2016 May,739,633,116,707,32,2,202,388,131,16,51,49,2,739,0,50,0,2,0
2016 June,841,737,104,798,43,3,226,456,142,14,63,60,3,841,0,60,0,4,0
2016 July,764,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016 August,764,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
